"Day","Freq","Rank"
"0101","399565",366
"0102","122789",358
"0103","98472",341
"0104","96801",338
"0105","102647",344
"0106","87058",307
"0107","84509",296
"0108","75906",214
"0109","71011",155
"0110","104479",348
"0111","72324",171
"0112","86122",304
"0113","66433",109
"0114","68675",133
"0115","88292",310
"0116","71342",162
"0117","64433",80
"0118","62930",59
"0119","61436",37
"0120","80997",268
"0121","67700",120
"0122","61209",34
"0123","60375",27
"0124","61831",43
"0125","71057",156
"0126","61516",39
"0127","61473",38
"0128","65993",101
"0129","59509",21
"0130","55924",9
"0131","52609",7
"0201","85898",302
"0202","173303",363
"0203","92015",321
"0204","83743",286
"0205","84308",295
"0206","78201",244
"0207","73557",190
"0208","75118",206
"0209","67044",114
"0210","93506",328
"0211","71144",158
"0212","89807",316
"0213","65169",90
"0214","76300",219
"0215","82504",277
"0216","73562",191
"0217","64599",83
"0218","67690",119
"0219","60826",31
"0220","75825",212
"0221","59491",20
"0222","71072",157
"0223","63161",63
"0224","65168",89
"0225","68169",126
"0226","63966",77
"0227","62502",50
"0228","96146",335
"0229","12956",1
"0301","84244",293
"0302","92841",325
"0303","172016",362
"0304","100883",342
"0305","96762",336
"0306","88482",311
"0307","84003",289
"0308","77132",231
"0309","74483",202
"0310","104560",349
"0311","76614",223
"0312","98147",339
"0313","84183",290
"0314","78731",249
"0315","104180",346
"0316","81327",271
"0317","72163",168
"0318","70510",150
"0319","62717",55
"0320","81765",272
"0321","69544",141
"0322","65252",91
"0323","85117",300
"0324","73694",192
"0325","75987",216
"0326","66167",105
"0327","69707",143
"0328","73886",195
"0329","60086",26
"0330","60818",30
"0331","49391",3
"0401","86478",306
"0402","83573",284
"0403","88534",312
"0404","144825",360
"0405","89756",315
"0406","92049",322
"0407","80058",260
"0408","74330",199
"0409","72228",169
"0410","91784",320
"0411","73329",186
"0412","90123",318
"0413","69214",137
"0414","83368",281
"0415","88554",313
"0416","84660",297
"0417","71188",159
"0418","66342",108
"0419","62359",49
"0420","78262",246
"0421","66046",103
"0422","62636",53
"0423","63634",72
"0424","80059",261
"0425","70879",154
"0426","64014",78
"0427","72581",177
"0428","68570",131
"0429","58019",12
"0430","56417",11
"0501","80256",263
"0502","79828",258
"0503","82310",276
"0504","82153",274
"0505","141306",359
"0506","85994",303
"0507","75681",209
"0508","68562",129
"0509","65914",100
"0510","92465",324
"0511","69111",136
"0512","82927",279
"0513","65420",93
"0514","69409",140
"0515","93297",326
"0516","74223",197
"0517","65136",88
"0518","63131",62
"0519","59575",22
"0520","75551",208
"0521","63504",70
"0522","62723",56
"0523","61635",40
"0524","64934",86
"0525","83867",287
"0526","63437",68
"0527","62889",58
"0528","64522",81
"0529","58462",14
"0530","56101",10
"0531","50616",4
"0601","101927",343
"0602","95126",334
"0603","94417",330
"0604","94436",331
"0605","104291",347
"0606","180251",364
"0607","93506",328
"0608","82305",275
"0609","76477",221
"0610","116137",355
"0611","80284",264
"0612","107987",350
"0613","72929",182
"0614","78033",239
"0615","103331",345
"0616","116334",356
"0617","76329",220
"0618","72633",178
"0619","64685",84
"0620","94581",332
"0621","70860",153
"0622","72364",172
"0623","69269",138
"0624","77012",229
"0625","87336",308
"0626","89349",314
"0627","68840",134
"0628","73328",185
"0629","61382",36
"0630","70054",145
"0701","88135",309
"0702","71293",160
"0703","73500",188
"0704","71467",163
"0705","73876",194
"0706","77841",237
"0707","113712",354
"0708","69690",142
"0709","65046",87
"0710","83428",282
"0711","68209",127
"0712","76668",225
"0713","63588",71
"0714","72381",173
"0715","82509",278
"0716","75006",205
"0717","76840",227
"0718","67349",117
"0719","59987",24
"0720","69811",144
"0721","65694",96
"0722","63189",64
"0723","63449",69
"0724","63803",74
"0725","70596",151
"0726","62301",47
"0727","84194",291
"0728","66979",113
"0729","58863",17
"0730","53929",8
"0731","51144",5
"0801","79303",254
"0802","74894",204
"0803","76651",224
"0804","77639",236
"0805","79159",252
"0806","74369",200
"0807","73262",184
"0808","113358",353
"0809","71331",161
"0810","92054",323
"0811","67896",123
"0812","83872",288
"0813","64377",79
"0814","69338",139
"0815","84797",298
"0816","75818",211
"0817","67592",118
"0818","72495",175
"0819","60969",33
"0820","78100",240
"0821","63803",74
"0822","66483",111
"0823","67859",122
"0824","73017",183
"0825","76197",218
"0826","65459",94
"0827","67897",124
"0828","91109",319
"0829","60881",32
"0830","61689",41
"0831","51766",6
"0901","81298",270
"0902","77354",234
"0903","81274",269
"0904","78746",250
"0905","80956",266
"0906","80298",265
"0907","76936",228
"0908","78146",242
"0909","112874",352
"0910","98454",340
"0911","79469",256
"0912","90037",317
"0913","74515",203
"0914","77143",232
"0915","93397",327
"0916","86134",305
"0917","76526",222
"0918","78511",247
"0919","75885",213
"0920","83635",285
"0921","73549",189
"0922","77332",233
"0923","84872",299
"0924","80963",267
"0925","85163",301
"0926","75706",210
"0927","77862",238
"0928","83107",280
"0929","79933",259
"0930","66035",102
"1001","77064",230
"1002","75213",207
"1003","76039",217
"1004","72253",170
"1005","78104",241
"1006","73428",187
"1007","68568",130
"1008","70260",147
"1009","70452",149
"1010","186582",365
"1011","77485",235
"1012","82070",273
"1013","61816",42
"1014","66474",110
"1015","79302",253
"1016","70244",146
"1017","62708",54
"1018","62095",45
"1019","58441",13
"1020","80208",262
"1021","58855",16
"1022","63209",65
"1023","66323",107
"1024","65821",99
"1025","72050",167
"1026","71821",166
"1027","63241",66
"1028","72580",176
"1029","61315",35
"1030","58712",15
"1031","46215",2
"1101","71782",165
"1102","74098",196
"1103","70447",148
"1104","68594",132
"1105","73781",193
"1106","67987",125
"1107","63277",67
"1108","63843",76
"1109","64559",82
"1110","83449",283
"1111","111131",351
"1112","79331",255
"1113","59818",23
"1114","63062",61
"1115","72713",180
"1116","67759",121
"1117","60617",28
"1118","62307",48
"1119","59330",19
"1120","74410",201
"1121","59326",18
"1122","67108",115
"1123","66686",112
"1124","68421",128
"1125","79657",257
"1126","64699",85
"1127","65408",92
"1128","75958",215
"1129","65704",97
"1130","62556",51
"1201","84285",294
"1202","74256",198
"1203","72656",179
"1204","72452",174
"1205","78198",243
"1206","71475",164
"1207","63764",73
"1208","65789",98
"1209","62279",46
"1210","84208",292
"1211","66047",104
"1212","122284",357
"1213","63056",60
"1214","65685",95
"1215","78574",248
"1216","95063",333
"1217","62004",44
"1218","67330",116
"1219","62578",52
"1220","78214",245
"1221","60021",25
"1222","70621",152
"1223","79124",251
"1224","96795",337
"1225","154805",361
"1226","72878",181
"1227","66207",106
"1228","76756",226
"1229","68866",135
"1230","62808",57
"1231","60637",29
